"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0009805","0021700497","Univox Technology LLC","2645 Executive Park Dr.
Suite 335
Weston FL 33331","No","United States of America","None","None","None","Jose Gregrio Solares","CEO","General Management","2645 Executive Park Dr.
Suite 335
Weston FL 33331","United States of America","9543045159","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-05-20","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f64aaabf1bc5c110822320efe54bcbd7&view=sp"
"RMD0009806","0024950040","Indian River Networks, LLC","241 6th Avenue
Indialantic FL 32903","No","United States of America","None","None","None","Eric Smith","President","Admin","241 6th Avenue
Indialantic FL 32903","United States of America","3215740453","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9f2827bb1b89c110822320efe54bcb70&view=sp"
"RMD0009807","0031854169","BounceTel","2519 N McMullen Booth Rd
Suite 510-200
Clearwater FL 33761","No","United States of America","None","Noe","Noe","N/A","N/A","N/A","N/A","","N/A","","N/A","No","No","Yes","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fc9ca73b1b85c110e1ca848ce54bcbbf&view=sp"
"RMD0009808","0031445869","DNA Micro","1 Wrigley
Irvine CA 92618","No","United States of America","None","None","None","N/A","N/A","N/A","N/A","","N/A","","N/A","No","No","Yes","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=644e677f1b89c1103125a64ce54bcb21&view=sp"
"RMD0009812","0031847619","Emava s.r.o.","Namestie slobody 28
 81106 Bratislava, Slovakia","Yes","Slovakia","none","none","SHCG SK s. r. o.","Daniel Pajonk","Deputy Managing Director","Management","N�mestie slobody 28
Bratislava 811 06","Slovakia","'+420773040500","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c75019341b118510c8e0ed3ce54bcb05&view=sp"
"RMD0009813","0031877376","FTA Systems, LLC.","1601 Elm Street
Ste 4310
Dallas TX 75201","No","United States of America","None","None","None","Torie Li","Product Owner","IT","1601 Elm Street
Ste 4310
Dallas TX 75201","United States of America","2146241000","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=37f243341bd545101ec7a93ce54bcbac&view=sp"
"RMD0009814","0031872278","Instacall LLC","2055 Limestone Rd STE 200-C
Wilmington DE 19808","No","United States of America","0031452857","None","None","WASHED BARI SAIKAT","Founder","Legal","1201 North Market Street
Suite 111
Wilmington DE 19801","United States of America","(302) 271-9101","1000","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-18","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6511c3301b514510d39dddb6bc4bcb27&view=sp"
"RMD0009815","0031754435","Group One Consulting Inc","13405 Folsom Blvd
Suite 511
Folsom CA 95630","No","United States of America","None","None","None","Chas Wiegman","System Architect","Engineering","13405 Folsom Blvd
Suite 511
Folsom CA 95630","United States of America","916-817-8877","1003","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-12","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3d5d8fb81b514510dcd1ed3be54bcb1b&view=sp"
"RMD0009817","0031095391","Call Bound LLC","7794 Four Seasons Blvd
Kissimmee FL 34747","No","United States of America","None","None","None","Sze Dai Wei","Mr.","CEO","7794 Four Seasons Blvd
Kissimmee FL 34747","United States of America","4075575440","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e2dcbec51bd54510e4ec848ce54bcb81&view=sp"
"RMD0009819","0031881626","The Sprout Network LLC","5120 Woodway Dr.
Suite 7010
Houston TX 77056","No","United States of America","None","Telepyx","None","Christina Li","Admin coordinator","Admin","5120 Woodway Dr.
Suite 7010
Houston TX 77056","United States of America","281-779-4833","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-16","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e50704d51b5d45103125a64ce54bcb1b&view=sp"
"RMD0009823","0031861388","3 COM, LLC","525 N. Cleveland Massillon Road
Suite 110
Akron OH 44333","No","United States of America","None","None","None","David Singer","President","Regulatory","525 N. Cleveland Massillon Road
Suite 110
Akron OH 44333","United States of America","888-251-5353","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4f1dd0511b9945109ac2ea04bc4bcba4&view=sp"
"RMD0009824","0031878044","Innovative Tech LLC","3825 Lancaster Pike, STE 3
Dr 28295
Wilmington DE 19805","No","United States of America","NONE","FONEPING","NONE","Maloy Sarkar","CEO","TECH","3825 Lancaster Pike, STE 3
Dr 28295
Wilmington DE 19805","United States of America","'+1 415-968-5815","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ee30fc551b9d4510d39dddb6bc4bcb20&view=sp"
"RMD0009825","0031884026","ETL Company Limited","Saylom Road,
Vientiane Capital 01000 Chanthabouly, Laos","Yes","Lao People's Democratic Republic","None","None","ETL Public Company","Sangvan Chanthachone","Deputy Director","Corporate Business Development Department","Saylom Road,
Vientiane Capital 01000 Chanthabouly, Laos","Lao People's Democratic Republic","'+8562022210004","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2241cfd91bdd4510003c43f1f54bcb42&view=sp"
"RMD0009828","0031884794","Voipleague","Rua Fieis de Deus
Porto 4400 Vila do Conde, Portugal","Yes","Portugal","None","None","None","Nuno F Silva","Mr","Support","Rua Fieis de Deus
Porto 4400 Vila do Conde, Portugal","Portugal","'+351966698203","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=204814211b5d8510822320efe54bcb60&view=sp"
"RMD0009830","0031884810","SCTELEPHONE","231 Blackstock
Inman SC 29349","No","United States of America","NONE","NONE","NONE","N/A","N/A","N/A","N/A","","N/A","","N/A","No","No","Yes","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=de9ad4291b59c510c8e0ed3ce54bcb61&view=sp"
"RMD0009831","0031885783","Devoli Limited","37 Drake Street
Auckland 1010 Auckland, New Zealand","Yes","New Zealand","None","None","Vibe Communications Limited","Dave","Voice Engineer","Engineering","37 Drake Street
Auckland 1010 Auckland, New Zealand","New Zealand","'+6492220586","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f38db8a91b51851022e3a681f54bcb75&view=sp"
"RMD0009832","0031886427","Virtare Health, Inc.","10890 Thornmint Dr.
#202
San Diego CA 92127","No","United States of America","None","ICC Health","None","Franklin Moses","CEO","Virtare Health, Inc.","10890 Thornmint Dr.
#202
San Diego CA 92127","United States of America","855-745-8400","1621","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-31","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2af5d9291bd185103e8aa93be54bcbfd&view=sp"
"RMD0009834","0031881899","Marketcall","2015 Robin Road
San Marino CA 91108","No","United States of America","None","None","None","Alexey Shmonov","CEO","CEO","2015 Robin Road
San Marino CA 91108","United States of America","'+1 (844) 410-5210","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-12-31","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=749fd3291b958510e1ca848ce54bcbbe&view=sp"
"RMD0009837","0031889330","sipharmony, LLC","937 Tara Dr
Burleson TX 76028","No","United States of America","None","None","None","Alan Spurlock","Founder and Software Engineer","CEO","937 Tara Dr
Burleson TX 76028","United States of America","512-991-2997","5001","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6cc429b11bd9c510822320efe54bcb5a&view=sp"
"RMD0009839","0031878739","Telezer IT Solutions Private Limited","8 3 224 Yousufguda main Road  Hyderabad
 500038 Telangana, India","Yes","India","None","None","None","Syed Ismail","Director","Director","8 3 224 Yousufguda main Road  Hyderabad
 500038 Telangana, India","India","'+918555893153","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=30fa5e021b114910c8e0ed3ce54bcb13&view=sp"
"RMD0009842","0031001407","Dagobah Systems Inc","651 N. Broad Street
Suite 206
Middletown DE 19709","No","United States of America","None","TELCLOUD and TBC Communications","None","Derek ""Jake"" Jacoby","CEO","Operations","651 N. Broad Street
Suite 206
Middletown DE 19709","United States of America","844-900-2270","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c7e60bce1b5d0910810387bae54bcb05&view=sp"
"RMD0009845","0031890502","Clarity Communication LLC","9683 NW 45th St
Sunrise FL 33351","No","United States of America","None","None","None","Euthan Coombs","Manager","Service","9683 NW 45th St
Sunrise FL 33351","United States of America","9546079384","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-31","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4d34aefa1b590910165aedfde54bcbb3&view=sp"
"RMD0009846","0022570386","MagicJack, LP","931 Village Blvd
Suite 905, Box 386
West Palm Beach FL 33409","No","United States of America","None","None","None","Tina Tecce","Regulatory Mgr.","Regulatory","931 Village Blvd
Suite 905, Box 386
West Palm Beach FL 33409","United States of America","908-806-7096","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=67b5b9071b514910d39dddb6bc4bcb76&view=sp"
"RMD0009848","0030560395","magicJack VoIP Services, LLC.","931 Village Blvd
Suite 905, Box 386
West Palm Beach FL 33409","No","United States of America","None","None","None","Tina Tecce","Regulatory Compliance Mgr","Regulatory","931 Village Blvd
Suite 905, Box 386
West Palm Beach FL 33409","United States of America","'+1 908 806 7096","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9db1420f1b514910d39dddb6bc4bcb9d&view=sp"
"RMD0009850","0024260119","THE CALLR CORP.","244 5th Avenue
Suite V256
NEW YORK NY 10001","No","United States of America","None","None","None","Sylvain Mercier","NOC Head","NOC","244 5th Avenue
New York NY 10001","United States of America","6469820800","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a6b5c28b1b918910822320efe54bcb24&view=sp"
"RMD0009854","0021415500","HyTec Telephone Installations, Inc.","1900 Atlantic Ave
Manasquan NJ 08736","No","United States of America","none","R19","none","Patrick McShea","President","Operations","1900 Atlantic Ave
McShea
Manasquan NJ 08736","United States of America","7325280555","125","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=155843c31bd14910e4ccdb1de54bcb79&view=sp"
"RMD0009855","0031906340","Multilocksmith Inc","600 San Pablo ave
Ste 207
Albany CA 94706","No","United States of America","0031906233","None","None","Ben Danon","Owner","Owner","1710 Sarah dr
Pinole CA 94564","United States of America","5105891911","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=229ea3c31bd1491022e3a681f54bcbb3&view=sp"
"RMD0009856","0031190283","Backhaul Network LLC","8 The Green Suite 11444
Dover DE 19901","No","United States of America","None","None","Backhaul Network LLC","Annabella Wycliff","CEO","Executive","8 The Green Suite 11444
Dover DE 19901","United States of America","(302) 261-5715","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-04-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2e7f44531b15491022e3a681f54bcb16&view=sp"
"RMD0009857","0031445570","My Country Mobile Pte Ltd","8 Temasek Boulevard #32-01 Suntec Tower Three
 038988 Singapore, Singapore","Yes","Singapore","None","none","none","Mahmadhanif S Tai","President","Management","8 Temasek Boulevard #32-01 Suntec Tower Three
Singapore 038988","Singapore","'+6531581894","","Complete STIR/SHAKEN Implementation","No","Yes","No","2025-01-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=56b35e171b1189101ec7a93ce54bcb4a&view=sp"
"RMD0009858","0031908171","Sona Business B.V.","Van Nelleweg 1
South Holland 3044BC Rotterdam, Netherlands","Yes","Netherlands","None","None","None","SONA NOC","NOC Manager","NOC","Van Nelleweg 1
South Holland 3044BC Rotterdam, Netherlands","Netherlands","'+31108920332","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-03-29","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ed79c75b1b110d108d57ecace54bcb31&view=sp"
"RMD0009859","0015446990","Ziggoo Technologies LLC","1650 Wilson Blvd Apt 303
Arlington VA 22209","No","United States of America","None","None","None","Marcel Barbulescu","President","n/a","1650 Wilson Blvd Apt 303
Arlington VA 22209","United States of America","(202) 505-1000","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3b525b1f1bd94910165aedfde54bcbd3&view=sp"
"RMD0009861","0031909088","","","No","United States of America","None","None","None","Andrew Fausak","n/a","n/a","","United States of America","682-234-3599","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=11bffbd31b9949103e8aa93be54bcbb7&view=sp"
"RMD0009862","0031909427","Valley View IT & Media Corporation","2001 11th Ave Ste 1
Bldg A
Helena MT 59601","No","United States of America","None","None","None","Scott Phillips","President","NOC","2001 11th Ave Ste 1
Bldg A
Helena MT 59601","United States of America","8889919011","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3450d46b1b99c1103125a64ce54bcb22&view=sp"
"RMD0009864","0023358922","WPI Group Inc.","832 Lovingston Dr
Pittsburgh PA 15216","No","United States of America","None","None","None","Aditya Ahluwalia","President","Management","832 Lovingston Dr
Pittsburgh PA 15216","United States of America","2128122112","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c5b0c26b1b11891093d3a820f54bcb6b&view=sp"
"RMD0009865","0031911431","SPIKE TALENT HOUSE TECHNOLOGIES LIMITED","112 Princes Gardens, London, United Kingdom, W3 0LJ
 W3 0LJ London, United Kingdom","Yes","United Kingdom","None","None","None","Levon Haig Agulian","Founder","Business Development","112 Princes Gardens, London, United Kingdom, W3 0LJ
 W3 0LJ London, United Kingdom","United Kingdom","'+19145734208","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b366072f1b918910d39dddb6bc4bcb7a&view=sp"
"RMD0009868","0031912355","Top Comunications Estegia","Av. FCO de Miranda, URB. LOS PALOS GRAND, Edif. Parque Cristal, Torre Este, Piso
Distrito Capital 1060 Caracas, Venezuela","Yes","Venezuela (Bolivarian Republic of)","None","None","None","Jos� Gustavo Rivas Casique","Engineer","Operations","Av. FCO de Miranda, URB. LOS PALOS GRAND, Edif. Parque Cristal, Torre Este, Piso
Distrito Capital 1060 Caracas, Venezuela","Venezuela (Bolivarian Republic of)","'+58-212-2857762","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fc0345371bd90d108d57ecace54bcb17&view=sp"
"RMD0009869","0031913387","Jumpsolinc","336 W Burleigh Blvd, Unit#10 Tavares, 32
Lake, Florida AL 32778","No","United States of America","none","none","none","Ryan Aahil","Business development manager","Sales","336 W Burleigh Blvd, Unit#10 Tavares, 32778 , Lake, Florida
Lake, Florida FL 32778","United States of America","7407800732","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=446741331bd589105eb762cfe54bcb0a&view=sp"
"RMD0009871","0031913676","Blue Chip Technologies Ltd.","39 Pelican Drive, Philippine
  San Fernando, Trinidad and Tobago","Yes","Trinidad and Tobago","None","None","None","Andre Soodeen","Managing Director","Administration","39 Pelican Drive, Philippine
  San Fernando, Trinidad and Tobago","Trinidad and Tobago","'+18686092288","100","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=85c6197f1bd90d108d57ecace54bcb00&view=sp"
"RMD0009872","0031890999","Alpine Valley Consulting","201 E 5th St
Suite 1200
Sheridan WY 82801","No","United States of America","None","None","None","Guillermo Suarez","Legal Representative","Legal","1309 Coffeen Ave
Suite 1200
Sheridan WY 82801","United States of America","9495431196","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2bedd1371b1589103e8aa93be54bcb46&view=sp"
"RMD0009874","0031913916","SKISIP LIMITED","304 S. Jones Blvd Ste 2957
NV 89107 Las Vegas, United States","No","United States of America","None","None","None","Ibrahim Mohamed","CEO","CEO","304 S. Jones Blvd
Ste 2957
Las Vegas NV 89107","United States of America","646-216-1247","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=407d35f71b518910003c43f1f54bcbdf&view=sp"
"RMD0009875","0031909377","TEQNIA LLC","30 N Gould St Suite R
Sheridan WY 82801","No","United States of America","None","None","None","Ricardo Bayley","Director","Director","30 N Gould St Suite R
Sheridan WY 82801","United States of America","3072180314","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","Yes","No","2024-12-31","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=84020a7b1b518910003c43f1f54bcb06&view=sp"
"RMD0009877","0031917172","UTEL USA","5530 Corbin Ave
Ste 335
Tarzana CA 91356","No","United States of America","none","none","none","Amir Khoe","General Manager","Administration","5530 Corbin Ave
Ste 335
Tarzana CA 91356","United States of America","8184565900","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=639ded081b6d05103125a64ce54bcb10&view=sp"
"RMD0009878","0031917438","PC's Plus LLC","1600 Dakota Street
Yankton SD 57078","No","United States of America","None","None","None","Todd Cowman","Owner","Main","1600 Dakota Street
Yankton SD 57078","United States of America","6056652323","","Complete STIR/SHAKEN Implementation","No","No","Yes","2024-04-18","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1e9e3d8c1ba98910dcd1ed3be54bcbab&view=sp"
"RMD0009881","0031919566","","","Yes","Colombia","None","None","None","Camilo Antres sotelo","CEO","CEO","","Colombia","'+13213326016","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=04a9abc81b6d0d10c8e0ed3ce54bcbf2&view=sp"
"RMD0009884","0031703580","LowCountry Technologies LLC","595 Towne Park Dr. W.
Suite 100
Rincon GA 31326","No","United States of America","None","None","None","Donald Bidwell","Vice President","Operations","595 Towne Park Dr. W.
Suite 100
Rincon GA 31326","United States of America","912-656-2183","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=35ccfed81be5c9105eb762cfe54bcbcf&view=sp"
"RMD0009886","0031922453","inbound communication inc","291 grove st,NJ 07362
jersey city NJ 07362","No","United States of America","none","none","none","james alexander","business development manager","sales","291 grove st,NJ 07362
jersey city NJ 07362","United States of America","7156809722","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e42c9f981b29c9105eb762cfe54bcb1c&view=sp"
"RMD0009890","0031923931","Rokweb Limited","79 Gardner Avenue New Lynn
Auckland 0060 Auckland, New Zealand","Yes","New Zealand","none","none","none","John Vector","Techical Manager","Technical","79 Gardner Avenue New Lynn
Auckland 0060 Auckland, New Zealand","New Zealand","'+17185534231","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7acaf0641b65c910003c43f1f54bcb55&view=sp"
"RMD0009892","0031930811","Virtutel Pty Ltd","9/13 Walkers Road
Victoria 3131 Nunawading, Australia","Yes","Australia","None","None","None","David Allen","Director","None","9/13 Walkers Road
Victoria 3131 Nunawading, Australia","Australia","'+61390500000","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-01","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6e1044591be90d10dcd1ed3be54bcb08&view=sp"
"RMD0009897","0031932007","Lenet LLC","290 Carpenter Drive Suite 140
Atlanta GA 30328","No","United States of America","NONE","NONE","NONE","Olivier","CEO","ADMIN","290 Carpenter Drive Suite 140
Atlanta GA 30328","United States of America","6787025500","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=52be1e1d1bed0d1022e3a681f54bcb96&view=sp"
"RMD0009912","0031933435","Outsourced Tech LLC","165 Oak Springs Rd
Clarkesville GA 30523","No","United States of America","none","none","none","Jeremy Dundore","CEO","Admin","165 Oak Springs Rd
Clarkesville GA 30523","United States of America","7067540014","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5cee83591b2d0d10003c43f1f54bcb9a&view=sp"
"RMD0009920","0031152408","VOICE & SMS TRADINGS","1621 Central Ave
Cheyenne WY 82001","No","United States of America","NONE","NONE","NONE","ABOUNNAIM MOHAMED-KARIM","CEO","ADMINISTRATION","1621 Central Ave
Cheyenne WY 82001","United States of America","212-555-1234","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=949967151b6d0d10003c43f1f54bcbe8&view=sp"
"RMD0009928","0031892607","Global Call Limited","11/F, Li Po Chun Chambers, 189 Des Voeux Road Central
  Hong Kong, Hong Kong","Yes","China, Hong Kong SAR","None","None","None","Raymond Chan","Senior IT Manager","IT","11/F, Li Po Chun Chambers, 189 Des Voeux Road Central
  Hong Kong, Hong Kong","China, Hong Kong SAR","'+85229151557","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a40978ad1b290550b7fca93ce54bcb06&view=sp"
"RMD0009935","0008039323","Mountain Communications, LLC","452 Casteel Road
Bruceton Mills WV 26525","No","United States of America","None","Procom","None","Pam Liston","Accounting Manager","Accounting","452 Casteel Road
Bruceton Mills WV 26525","United States of America","3043798276","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8c061fe11be1cd10544a404fe54bcb5b&view=sp"
"RMD0009941","0031937741","Adams Technology Group, Corp","280 E Corporate Dr
Ste 210
Meridian ID 83642","No","United States of America","none","smadatek","none","Chris Adams","President","Billing","280 E Corporate Dr
Ste 210
Meridian ID 83642","United States of America","208-906-8318","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=74a318351b25cd1016b49796bc4bcb40&view=sp"
"RMD0009947","0024547523","Evolocity Networks, LLC.","321 E 300 N
STE B
American Fork UT 84003","No","United States of America","None","None","None","Dave Crim","President","Administration","321 E 300 N
Ste B
American Fork UT 84003","United States of America","8012079015","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-11","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=63e1d9391ba98d109ac2ea04bc4bcbaf&view=sp"
"RMD0009952","0027458835","Natural G.C. Inc.","P.O Box 21371
San Juan PR 00928","No","United States of America","None","None","None","Dhaniels Nieto","COO","7877108591","P.O Box 21371
San Juan PR 00928","United States of America","7877108591","","Complete STIR/SHAKEN Implementation","Yes","No","No","","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a8fc04861bed8d10680f657ae54bcb4c&view=sp"
